X,Y,Z,lith
312.5,199.16667,761.49786,3.0
312.5,199.16667,786.6034,3.0
312.5,199.16667,811.70886,3.0
312.5,199.16667,836.81433,3.0
337.5,0.8333333,661.0759,3.0
337.5,0.8333333,686.18146,3.0
337.5,0.8333333,711.2869,3.0
337.5,0.8333333,736.3924,3.0
337.5,0.8333333,761.49786,3.0
337.5,0.8333333,786.6034,3.0
337.5,0.8333333,811.70886,3.0
337.5,0.8333333,836.81433,3.0
337.5,66.94444,661.0759,3.0
337.5,66.94444,686.18146,3.0
337.5,66.94444,711.2869,3.0
337.5,66.94444,736.3924,3.0
337.5,66.94444,761.49786,3.0
337.5,66.94444,786.6034,3.0
337.5,66.94444,811.70886,3.0
337.5,66.94444,836.81433,3.0
337.5,133.05556,661.0759,3.0
337.5,133.05556,686.18146,3.0
337.5,133.05556,711.2869,3.0
337.5,133.05556,736.3924,3.0
337.5,133.05556,761.49786,3.0
337.5,133.05556,786.6034,3.0
337.5,133.05556,811.70886,3.0
337.5,133.05556,836.81433,3.0
337.5,199.16667,661.0759,3.0
337.5,199.16667,686.18146,3.0
337.5,199.16667,711.2869,3.0
337.5,199.16667,736.3924,3.0
337.5,199.16667,761.49786,3.0
337.5,199.16667,786.6034,3.0
337.5,199.16667,811.70886,3.0
337.5,199.16667,836.81433,3.0
362.5,0.8333333,686.18146,3.0
362.5,0.8333333,711.2869,3.0
362.5,0.8333333,736.3924,3.0
362.5,0.8333333,761.49786,3.0
362.5,0.8333333,786.6034,3.0
362.5,0.8333333,811.70886,3.0
362.5,0.8333333,836.81433,3.0
362.5,66.94444,686.18146,3.0
362.5,66.94444,711.2869,3.0
362.5,66.94444,736.3924,3.0
362.5,66.94444,761.49786,3.0
362.5,66.94444,786.6034,3.0
362.5,66.94444,811.70886,3.0
362.5,66.94444,836.81433,3.0
362.5,66.94444,861.91986,3.0
362.5,133.05556,686.18146,3.0
362.5,133.05556,711.2869,3.0
362.5,133.05556,736.3924,3.0
362.5,133.05556,761.49786,3.0
362.5,133.05556,786.6034,3.0
362.5,133.05556,811.70886,3.0
362.5,133.05556,836.81433,3.0
362.5,133.05556,861.91986,3.0
362.5,199.16667,686.18146,3.0
362.5,199.16667,711.2869,3.0
362.5,199.16667,736.3924,3.0
362.5,199.16667,761.49786,3.0
362.5,199.16667,786.6034,3.0
362.5,199.16667,811.70886,3.0
362.5,199.16667,836.81433,3.0
362.5,199.16667,861.91986,3.0
387.5,0.8333333,686.18146,3.0
387.5,0.8333333,711.2869,3.0
387.5,0.8333333,736.3924,3.0
387.5,0.8333333,761.49786,3.0
387.5,0.8333333,786.6034,3.0
387.5,0.8333333,811.70886,3.0
387.5,0.8333333,836.81433,3.0
387.5,0.8333333,861.91986,3.0
387.5,66.94444,686.18146,3.0
387.5,66.94444,711.2869,3.0
387.5,66.94444,736.3924,3.0
387.5,66.94444,761.49786,3.0
387.5,66.94444,786.6034,3.0
387.5,66.94444,811.70886,3.0
387.5,66.94444,836.81433,3.0
387.5,66.94444,861.91986,3.0
387.5,133.05556,686.18146,3.0
387.5,133.05556,711.2869,3.0
387.5,133.05556,736.3924,3.0
387.5,133.05556,761.49786,3.0
387.5,133.05556,786.6034,3.0
387.5,133.05556,811.70886,3.0
387.5,133.05556,836.81433,3.0
387.5,133.05556,861.91986,3.0
387.5,199.16667,686.18146,3.0
387.5,199.16667,711.2869,3.0
387.5,199.16667,736.3924,3.0
387.5,199.16667,761.49786,3.0
387.5,199.16667,786.6034,3.0
387.5,199.16667,811.70886,3.0
387.5,199.16667,836.81433,3.0
387.5,199.16667,861.91986,3.0
412.5,0.8333333,711.2869,3.0
412.5,0.8333333,736.3924,3.0
412.5,0.8333333,761.49786,3.0
412.5,0.8333333,786.6034,3.0
412.5,0.8333333,811.70886,3.0
412.5,0.8333333,836.81433,3.0
412.5,0.8333333,861.91986,3.0
412.5,0.8333333,887.0253,3.0
412.5,66.94444,711.2869,3.0
412.5,66.94444,736.3924,3.0
412.5,66.94444,761.49786,3.0
412.5,66.94444,786.6034,3.0
412.5,66.94444,811.70886,3.0
412.5,66.94444,836.81433,3.0
412.5,66.94444,861.91986,3.0
412.5,66.94444,887.0253,3.0
412.5,133.05556,711.2869,3.0
412.5,133.05556,736.3924,3.0
412.5,133.05556,761.49786,3.0
412.5,133.05556,786.6034,3.0
412.5,133.05556,811.70886,3.0
412.5,133.05556,836.81433,3.0
412.5,133.05556,861.91986,3.0
412.5,133.05556,887.0253,3.0
412.5,199.16667,711.2869,3.0
412.5,199.16667,736.3924,3.0
412.5,199.16667,761.49786,3.0
412.5,199.16667,786.6034,3.0
412.5,199.16667,811.70886,3.0
412.5,199.16667,836.81433,3.0
412.5,199.16667,861.91986,3.0
412.5,199.16667,887.0253,3.0
437.5,0.8333333,711.2869,3.0
437.5,0.8333333,736.3924,3.0
437.5,0.8333333,761.49786,3.0
437.5,0.8333333,786.6034,3.0
437.5,0.8333333,811.70886,3.0
437.5,0.8333333,836.81433,3.0
437.5,0.8333333,861.91986,3.0
437.5,0.8333333,887.0253,3.0
437.5,66.94444,711.2869,3.0
437.5,66.94444,736.3924,3.0
437.5,66.94444,761.49786,3.0
437.5,66.94444,786.6034,3.0
437.5,66.94444,811.70886,3.0
437.5,66.94444,836.81433,3.0
437.5,66.94444,861.91986,3.0
437.5,66.94444,887.0253,3.0
437.5,133.05556,711.2869,3.0
437.5,133.05556,736.3924,3.0
437.5,133.05556,761.49786,3.0
437.5,133.05556,786.6034,3.0
437.5,133.05556,811.70886,3.0
437.5,133.05556,836.81433,3.0
437.5,133.05556,861.91986,3.0
437.5,133.05556,887.0253,3.0
437.5,199.16667,736.3924,3.0
437.5,199.16667,761.49786,3.0
437.5,199.16667,786.6034,3.0
437.5,199.16667,811.70886,3.0
437.5,199.16667,836.81433,3.0
437.5,199.16667,861.91986,3.0
437.5,199.16667,887.0253,3.0
462.5,0.8333333,736.3924,3.0
462.5,0.8333333,761.49786,3.0
462.5,0.8333333,786.6034,3.0
462.5,0.8333333,811.70886,3.0
462.5,0.8333333,836.81433,3.0
462.5,0.8333333,861.91986,3.0
462.5,0.8333333,887.0253,3.0
462.5,0.8333333,912.1308,3.0
462.5,66.94444,736.3924,3.0
462.5,66.94444,761.49786,3.0
462.5,66.94444,786.6034,3.0
462.5,66.94444,811.70886,3.0
462.5,66.94444,836.81433,3.0
462.5,66.94444,861.91986,3.0
462.5,66.94444,887.0253,3.0
462.5,66.94444,912.1308,3.0
462.5,133.05556,736.3924,3.0
462.5,133.05556,761.49786,3.0
462.5,133.05556,786.6034,3.0
462.5,133.05556,811.70886,3.0
462.5,133.05556,836.81433,3.0
462.5,133.05556,861.91986,3.0
462.5,133.05556,887.0253,3.0
462.5,133.05556,912.1308,3.0
462.5,199.16667,736.3924,3.0
462.5,199.16667,761.49786,3.0
462.5,199.16667,786.6034,3.0
462.5,199.16667,811.70886,3.0
462.5,199.16667,836.81433,3.0
462.5,199.16667,861.91986,3.0
462.5,199.16667,887.0253,3.0
462.5,199.16667,912.1308,3.0
487.5,0.8333333,761.49786,3.0
487.5,0.8333333,786.6034,3.0
487.5,0.8333333,811.70886,3.0
487.5,0.8333333,836.81433,3.0
487.5,0.8333333,861.91986,3.0
487.5,0.8333333,887.0253,3.0
487.5,0.8333333,912.1308,3.0
487.5,0.8333333,937.23627,3.0
487.5,66.94444,761.49786,3.0
487.5,66.94444,786.6034,3.0
487.5,66.94444,811.70886,3.0
487.5,66.94444,836.81433,3.0
487.5,66.94444,861.91986,3.0
487.5,66.94444,887.0253,3.0
487.5,66.94444,912.1308,3.0
487.5,66.94444,937.23627,3.0
487.5,133.05556,761.49786,3.0
487.5,133.05556,786.6034,3.0
487.5,133.05556,811.70886,3.0
487.5,133.05556,836.81433,3.0
487.5,133.05556,861.91986,3.0
487.5,133.05556,887.0253,3.0
487.5,133.05556,912.1308,3.0
487.5,133.05556,937.23627,3.0
487.5,199.16667,761.49786,3.0
487.5,199.16667,786.6034,3.0
487.5,199.16667,811.70886,3.0
487.5,199.16667,836.81433,3.0
487.5,199.16667,861.91986,3.0
487.5,199.16667,887.0253,3.0
487.5,199.16667,912.1308,3.0
487.5,199.16667,937.23627,3.0
512.5,0.8333333,761.49786,3.0
512.5,0.8333333,786.6034,3.0
512.5,0.8333333,811.70886,3.0
512.5,0.8333333,836.81433,3.0
512.5,0.8333333,861.91986,3.0
512.5,0.8333333,887.0253,3.0
512.5,0.8333333,912.1308,3.0
512.5,0.8333333,937.23627,3.0
512.5,66.94444,761.49786,3.0
512.5,66.94444,786.6034,3.0
512.5,66.94444,811.70886,3.0
512.5,66.94444,836.81433,3.0
512.5,66.94444,861.91986,3.0
512.5,66.94444,887.0253,3.0
512.5,66.94444,912.1308,3.0
512.5,66.94444,937.23627,3.0
512.5,133.05556,761.49786,3.0
512.5,133.05556,786.6034,3.0
512.5,133.05556,811.70886,3.0
512.5,133.05556,836.81433,3.0
512.5,133.05556,861.91986,3.0
512.5,133.05556,887.0253,3.0
512.5,133.05556,912.1308,3.0
512.5,133.05556,937.23627,3.0
512.5,199.16667,761.49786,3.0
512.5,199.16667,786.6034,3.0
512.5,199.16667,811.70886,3.0
512.5,199.16667,836.81433,3.0
512.5,199.16667,861.91986,3.0
512.5,199.16667,887.0253,3.0
512.5,199.16667,912.1308,3.0
512.5,199.16667,937.23627,3.0
537.5,0.8333333,786.6034,3.0
537.5,0.8333333,811.70886,3.0
537.5,0.8333333,836.81433,3.0
537.5,0.8333333,861.91986,3.0
537.5,0.8333333,887.0253,3.0
537.5,0.8333333,912.1308,3.0
537.5,0.8333333,937.23627,3.0
537.5,0.8333333,962.3418,3.0
537.5,66.94444,786.6034,3.0
537.5,66.94444,811.70886,3.0
537.5,66.94444,836.81433,3.0
537.5,66.94444,861.91986,3.0
537.5,66.94444,887.0253,3.0
537.5,66.94444,912.1308,3.0
537.5,66.94444,937.23627,3.0
537.5,66.94444,962.3418,3.0
537.5,133.05556,786.6034,3.0
537.5,133.05556,811.70886,3.0
537.5,133.05556,836.81433,3.0
537.5,133.05556,861.91986,3.0
537.5,133.05556,887.0253,3.0
537.5,133.05556,912.1308,3.0
537.5,133.05556,937.23627,3.0
537.5,133.05556,962.3418,3.0
537.5,199.16667,786.6034,3.0
537.5,199.16667,811.70886,3.0
537.5,199.16667,836.81433,3.0
537.5,199.16667,861.91986,3.0
537.5,199.16667,887.0253,3.0
537.5,199.16667,912.1308,3.0
537.5,199.16667,937.23627,3.0
537.5,199.16667,962.3418,3.0
562.5,0.8333333,786.6034,3.0
562.5,0.8333333,811.70886,3.0
562.5,0.8333333,836.81433,3.0
562.5,0.8333333,861.91986,3.0
562.5,0.8333333,887.0253,3.0
562.5,0.8333333,912.1308,3.0
562.5,0.8333333,937.23627,3.0
562.5,0.8333333,962.3418,3.0
562.5,66.94444,786.6034,3.0
562.5,66.94444,811.70886,3.0
562.5,66.94444,836.81433,3.0
562.5,66.94444,861.91986,3.0
562.5,66.94444,887.0253,3.0
562.5,66.94444,912.1308,3.0
562.5,66.94444,937.23627,3.0
562.5,66.94444,962.3418,3.0
562.5,133.05556,811.70886,3.0
562.5,133.05556,836.81433,3.0
562.5,133.05556,861.91986,3.0
562.5,133.05556,887.0253,3.0
562.5,133.05556,912.1308,3.0
562.5,133.05556,937.23627,3.0
562.5,133.05556,962.3418,3.0
562.5,133.05556,987.44727,3.0
562.5,199.16667,811.70886,3.0
562.5,199.16667,836.81433,3.0
562.5,199.16667,861.91986,3.0
562.5,199.16667,887.0253,3.0
562.5,199.16667,912.1308,3.0
562.5,199.16667,937.23627,3.0
562.5,199.16667,962.3418,3.0
562.5,199.16667,987.44727,3.0
587.5,0.8333333,811.70886,3.0
587.5,0.8333333,836.81433,3.0
587.5,0.8333333,861.91986,3.0
587.5,0.8333333,887.0253,3.0
587.5,0.8333333,912.1308,3.0
587.5,0.8333333,937.23627,3.0
587.5,0.8333333,962.3418,3.0
587.5,0.8333333,987.44727,3.0
587.5,66.94444,811.70886,3.0
587.5,66.94444,836.81433,3.0
587.5,66.94444,861.91986,3.0
587.5,66.94444,887.0253,3.0
587.5,66.94444,912.1308,3.0
587.5,66.94444,937.23627,3.0
587.5,66.94444,962.3418,3.0
587.5,66.94444,987.44727,3.0
587.5,133.05556,811.70886,3.0
587.5,133.05556,836.81433,3.0
587.5,133.05556,861.91986,3.0
587.5,133.05556,887.0253,3.0
587.5,133.05556,912.1308,3.0
587.5,133.05556,937.23627,3.0
587.5,133.05556,962.3418,3.0
587.5,133.05556,987.44727,3.0
587.5,199.16667,811.70886,3.0
587.5,199.16667,836.81433,3.0
587.5,199.16667,861.91986,3.0
587.5,199.16667,887.0253,3.0
587.5,199.16667,912.1308,3.0
587.5,199.16667,937.23627,3.0
587.5,199.16667,962.3418,3.0
587.5,199.16667,987.44727,3.0
612.5,0.8333333,836.81433,3.0
612.5,0.8333333,861.91986,3.0
612.5,0.8333333,887.0253,3.0
