Unnamed: 0,G_x,G_y,G_z,X,Y,Z,azimuth,beta,dip,formation,index,kappa,n_points,polarity
70,0.136836631347,0.7760390996100001,0.615661475327,783214.848,6351613.938999997,450.87790099999995,10.0,0.0,51.999999999927304,Carboniferous,222.0,9999.0,1.0,1
71,0.26245114569940325,-0.34739042325514197,0.9002440168930219,784528.1279999998,6347948.9435,390.2523835,143.0,0.0,25.809839272237237,Carboniferous,223.0,666.0,2.0,1
72,0.14315287232403331,-0.3729259822674415,0.9167515840702121,784489.2519999999,6348208.7885,370.15904,159.0,0.0,23.544287246571013,Carboniferous,224.0,666.0,2.0,1
73,0.24857875380934694,-0.0712144068878034,0.9659902232456652,780111.1025,6348441.0835,214.2477875,106.0,0.0,14.985737569953981,Carboniferous,225.0,666.0,2.0,1
74,0.09139023610030568,0.16058195223849867,0.9827824079422685,782320.1345,6352531.595000002,532.1232060000002,30.0,0.0,10.647531629324398,Carboniferous,226.0,666.0,2.0,1
75,-0.154508497186,-0.475528258147,0.866025403785,780351.814,6351085.708,466.62799299999995,198.0,0.0,29.999999999885407,Carboniferous,227.0,9999.0,1.0,1
76,0.336824088834,-0.0593911746129,0.9396926207870001,780554.5750000002,6350445.360333334,425.5402773333333,100.0,0.0,19.99999999983248,Carboniferous,229.0,9999.0,2.0,1
77,-0.157888556686,-0.160231646429,0.974370064786,788818.373,6349048.211,233.209967,225.0,0.0,12.9999999997453,Carboniferous,231.0,9999.0,1.0,1
78,0.452547508549,0.0362704982488,0.8910023588429999,789170.3213333334,6348864.031,232.65345699999997,85.0,0.0,27.000525681883968,Carboniferous,232.0,56.0065975026,3.0,1
79,-0.08615690542841987,0.13469990538183066,0.9871336906099012,791523.5248380002,6350505.446088999,356.19904,327.0,0.0,9.20092255092553,Carboniferous,235.0,666.0,2.0,1
80,0.21329612359,0.022496767636700003,0.976728549346,790868.7086416669,6349217.716611667,253.65774516666667,84.0,0.0,12.384976784232931,Carboniferous,236.0,51.9785787133,5.0,1
81,0.816034923453,0.0713938048443,0.5735764363520001,787191.754655,6349883.326372,311.461319,85.0,0.0,54.99999999993007,Carboniferous,238.0,9999.0,1.0,1
82,0.802964772034,-0.46359192728200005,0.37460659341700003,787255.782,6349980.968999999,294.674648,120.0,0.0,67.99999999995572,Carboniferous,239.0,46.2341896346,2.0,1
83,0.3499361941626868,0.12736635856830006,0.9280746040701608,787312.7660000002,6349160.8125,458.350171,70.0,0.0,21.863357160434237,Carboniferous,240.0,666.0,2.0,1
84,0.5326005830288671,-0.2764211212273169,0.7999549879191602,786906.1258009998,6348408.330075999,345.2585870000001,117.0,0.0,36.87419576799369,Carboniferous,241.0,666.0,2.0,1
85,-0.6702959112221247,-0.16056719402834094,0.7245147117904278,785177.7270000001,6347900.815,387.22119649999996,257.0,0.0,43.571507464344165,Carboniferous,242.0,666.0,2.0,1
86,0.386879575456428,8.307293166882426e-13,0.9221302479013764,786715.8089999999,6352401.655000001,397.06097,90.0,0.0,22.76047627465355,Carboniferous,243.0,666.0,2.0,1
87,-0.142244259722,0.09960050292610001,0.984807753013,786481.432,6352666.7579999985,449.849537,305.0,0.0,9.999999999670068,Carboniferous,244.0,9999.0,1.0,1
88,0.8232772324492091,-0.14400940557170475,0.5490682012625165,786408.6085000002,6351081.317499999,295.244208,100.0,0.0,56.696888857402364,Carboniferous,246.0,666.0,2.0,1
89,-0.8092491993869437,0.097855324828554,0.5792582055476546,783069.595592,6349025.787009,441.22453,277.0,0.0,54.60161433244792,Carboniferous,248.0,666.0,2.0,1
90,0.18319209996602387,0.5495762998960574,0.8151113697542176,784624.15,6349813.365499998,336.6697200000001,18.0,0.0,35.40162463458808,Carboniferous,250.0,666.0,2.0,1
91,-0.0749139728256559,0.06181533290774914,0.9952722046219219,783465.4989999998,6351046.7195,383.7678875,310.0,0.0,5.573631079533034,Carboniferous,251.0,666.0,2.0,1
92,0.791153573831,-0.352244265553,0.500000000001,783643.189,6350805.195,359.75497,114.0,0.0,59.99999999993384,Carboniferous,252.0,9999.0,1.0,1
93,0.11643746537116632,-0.201675605926441,0.97250669233283,783293.5493685,6351685.278625,447.59392599999995,150.0,0.0,13.466390249336335,Carboniferous,254.0,666.0,2.0,1
94,-0.14219812243899999,0.19571892485300002,0.970295726277,780613.627,6350844.616,403.18723900000003,324.0,0.0,13.999999999763169,Carboniferous,255.0,9999.0,1.0,1
95,0.5740229374809461,0.03008326741175566,0.8182864194568908,789835.4406666666,6348610.426666668,326.58763733333336,87.0,0.0,35.086376168366286,Carboniferous,257.0,666.0,2.0,1
96,0.373181102232,0.032649115888299995,0.927183854568,789635.448,6349378.681,230.761908,85.0,0.0,21.999999999847045,Carboniferous,259.0,9999.0,1.0,1
97,0.6019240829889959,0.3133418445381077,0.7345095552675355,787475.6176666667,6349985.003666665,271.90120500000006,62.0,0.0,42.73420960091839,Carboniferous,262.0,666.0,2.0,1
98,0.20433705765565013,0.0011473173402823176,0.9788999185471171,786453.505,6352672.413000002,444.10134850000003,90.0,0.0,11.790882320034239,Carboniferous,263.0,666.0,2.0,1
99,0.2683844209435352,0.8519521125130393,-0.4496080521736384,783184.4175583335,6349120.683705666,446.69583566666665,17.0,0.0,116.71853976651975,Carboniferous,264.0,666.0,2.0,1
100,-0.32139380484200003,0.38302222155999993,0.866025403785,783565.787,6350860.833,384.50532999999996,320.0,0.0,29.999999999885407,Carboniferous,266.0,9999.0,1.0,1
101,0.035000438459099996,-0.528668550911,0.84810643942,783503.1120000001,6350799.448999999,348.536722,176.0,0.0,31.99369127048332,Carboniferous,267.0,67.646052735,2.0,1
102,0.07833506268339999,-0.0382065628965,0.9961946980930001,780319.0329999998,6350900.8539999975,448.449858,116.0,0.0,4.999999999342611,Carboniferous,269.0,9999.0,1.0,1
103,0.212012149898,-0.7912401152349999,0.5735764363520001,789683.406193,6349378.022329,233.94838,165.0,0.0,54.99999999993007,Carboniferous,271.0,9999.0,1.0,1
104,0.073386891001,-0.416197740726,0.906307787038,789701.720025,6349398.4966669995,236.02030499999998,170.0,0.0,24.99999999986444,Carboniferous,272.0,9999.0,1.0,1
105,-0.194102284986,-0.07450888632389999,0.9781476007350001,789732.064,6349431.667,239.041658,249.0,0.0,11.999999999724414,Carboniferous,274.0,9999.0,1.0,1
106,-0.766371138438,0.543056942552,-0.3431682318,783355.38,6349330.531500001,454.18031449999995,305.0,0.0,110.07001786693249,Carboniferous,276.0,54.5689822103,2.0,1
107,0.23890965314800003,-0.09954634971139999,0.9659258262899999,783153.505,6349478.741,532.046738,113.0,0.0,14.999999999778625,Carboniferous,277.0,9999.0,1.0,1
108,0.050456887064995744,0.10065094363543918,0.9936415299759798,780219.118,6350814.029999998,436.562346,27.0,0.0,6.4646398316361395,Carboniferous,278.0,666.0,2.0,1
109,0.03164172152266658,-0.6408398036445266,0.7670222601228249,789661.5956905,6349390.207096,233.5434915,177.0,0.0,39.912761720093606,Carboniferous,279.0,666.0,2.0,1
110,-0.25111520217133354,-0.5577495630651113,0.7911109783962853,789695.479,6349394.864,235.681541,204.0,0.0,37.710544315822574,Carboniferous,280.0,666.0,2.0,1
111,0.027460710216059392,-0.32583906036456856,0.9450263573759012,789707.1351955,6349422.6140725,237.5629,175.0,0.0,19.086434722376726,Carboniferous,281.0,666.0,2.0,1
112,-0.0667651724168,0.0560226315522,0.9961946980930001,789776.737908,6350549.259639,460.65872,310.0,0.0,4.999999999342611,Liassic,22.0,9999.0,1.0,1
113,-0.232036908981,0.208926971275,0.9500044176450001,788495.3866746002,6350682.247498399,357.0362484,312.0,0.0,18.194061712878803,Liassic,39.0,302.66954410200003,5.0,1
114,-0.128143611834,0.0897271229813,0.987688340596,791126.517,6349620.048,410.772285,305.0,0.0,8.999999999633731,Liassic,46.0,9999.0,1.0,1
115,-0.0754790873042,0.0435778713748,0.9961946980930001,789243.52,6348512.025,337.36944,300.0,0.0,4.999999999342611,Liassic,54.0,9999.0,1.0,1
116,-0.359636081874,0.30177050366,0.88294759286,788394.843,6346875.647999999,411.411158,310.0,0.0,27.999999999877954,Liassic,57.0,9999.0,1.0,1
117,0.4178408116409457,-0.11595836692717287,0.9010897365228498,789299.5440000001,6351634.976,292.0945225000001,106.0,0.0,25.698319994763512,Liassic,63.0,666.0,2.0,1
118,0.129409522552,-0.48296291314400003,0.866025403785,791275.685,6349976.2,451.627112,165.0,0.0,29.999999999885407,Liassic,74.0,9999.0,1.0,1
119,0.027552840928199998,-0.00386983264938,0.999612857737,792275.538767,6349109.430339,261.794825,98.0,0.0,1.5943619979407273,Liassic,76.0,9999.0,1.0,1
120,-0.191864675846,0.37655562845299995,0.906307787038,790266.1429999998,6348009.007,443.480337,333.0,0.0,24.99999999986444,Liassic,84.0,9999.0,1.0,1
121,-0.323744370966,0.271653782275,0.906307787038,789611.1690000001,6347432.804,336.410078,310.0,0.0,24.99999999986444,Liassic,85.0,9999.0,1.0,1
122,-0.0669969255142,-0.21185416358399997,0.97500216684,789619.9368924998,6348415.040430498,352.56763,198.0,0.0,12.838009406711054,Liassic,90.0,138.397255747,2.0,1
123,-0.6663568533320751,-0.10300761834268718,0.7384835641913385,789477.902,6348547.012,322.3500380000001,261.0,0.0,42.39760177588347,Liassic,91.0,666.0,2.0,1
124,-0.31447255201499996,0.21590188425299997,0.924388116759,788688.7003333331,6346689.102666666,391.28437066666675,304.0,0.0,22.423731641479947,Liassic,92.0,666.525617774,2.0,1
125,-0.33397309374699996,0.09291133762970001,0.937992247299,788585.4703333335,6345895.734666668,292.402044,286.0,0.0,20.28293122792503,Liassic,95.0,506.97991295099996,3.0,1
126,-0.109381654946,0.23456971601100002,0.9659258262899999,788998.68,6352838.461,364.394591,335.0,0.0,14.999999999778625,Liassic,97.0,9999.0,1.0,1
127,0.15743061825355134,0.07409754046422158,0.9847462388521508,787754.5409999999,6351225.512999999,474.2404275,65.0,0.0,10.020276449514187,Liassic,101.0,666.0,2.0,1
128,-0.026167978120499997,0.0453242676387,0.998629534756,788068.5329999998,6351566.549333334,355.5248656666667,330.0,0.0,2.9999999989053,Liassic,102.0,9999.0,2.0,1
129,0.1004543021946476,-0.0401326638770343,0.9941319341318432,787724.2705000001,6352384.8295,518.591934,112.0,0.0,6.2100875299488845,Liassic,105.0,666.0,2.0,1
